Filename,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Closest Text Type
guiding_case_no_215_en,-25.38,-2.62,11.15,-4.75,4.04,-1.6,Learned exposition
guiding_case_no_217_en,-21.91,-3.58,11.68,-0.0499999999999998,-0.74,-0.76,Learned exposition
guiding_case_no_224_en,-21.24,4.13,4.58,-1.48,4.57,0.9,Learned exposition
guiding_case_no_229_en,-21.08,-2.89,6.59,1.02,0.0399999999999997,-1.92,Learned exposition
MAT_output_cleaned_1 - ¸±±¾,-22.40,-1.24,8.50,-1.31,1.98,-0.84,Learned exposition
